Age,Height,Weight,Overall,Potential,Growth,TotalStats,BaseStats,BestPosition,IntReputation,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,STRating,LWRating,LFRating,CFRating,RFRating,RWRating,CAMRating,LMRating,CMRating,RMRating,LWBRating,CDMRating,RWBRating,LBRating,CBRating,RBRating,GKRating,Top_5_league
27,185,81,71,72,1,1960,417,4,1,3,3,0,2,69,67,66,68,69,78,53,68,64,70,61,65,65,52,69,71,70,69,68,68,68,69,63,86,73,67,82,68,73,71,48,70,70,70,70,15,14,16,14,10,71,68,69,69,69,68,71,70,72,70,71,72,71,71,72,71,21,0
23,192,80,71,81,10,941,363,5,1,3,1,2,2,70,70,58,74,22,69,14,9,13,20,9,6,14,12,20,14,18,27,54,68,27,44,31,17,60,6,18,13,5,34,14,25,11,10,12,70,70,58,69,74,24,19,20,20,20,19,23,21,23,21,21,23,21,21,23,21,72,0
30,190,88,71,71,0,1717,370,1,2,3,2,2,2,58,53,56,56,71,76,40,38,76,62,34,58,43,62,64,55,51,63,50,63,33,84,65,53,88,65,78,68,46,58,39,70,71,71,71,11,16,16,12,13,61,53,56,56,56,53,58,56,61,56,62,68,62,65,71,65,21,0
31,180,72,71,71,0,1982,421,12,1,3,3,0,2,81,69,71,71,52,77,72,68,72,73,69,71,63,57,70,68,80,82,81,68,69,75,82,83,72,68,81,57,72,71,61,67,47,49,47,8,7,10,14,15,71,71,71,71,71,71,71,71,71,71,67,66,67,66,63,66,19,0
28,193,82,71,71,0,1431,306,1,1,3,2,2,0,39,33,42,51,72,69,27,22,70,60,26,48,29,33,56,59,34,43,34,69,34,55,82,42,80,41,72,71,13,19,34,64,73,73,74,9,12,7,15,15,47,41,42,42,42,41,45,45,52,45,59,66,59,62,71,62,21,0
35,176,69,71,71,0,1799,375,0,1,3,4,2,1,71,69,70,75,41,49,69,71,43,71,66,75,75,54,68,74,76,67,83,68,80,69,64,48,47,66,50,49,70,74,60,76,44,33,34,9,8,14,12,8,69,71,71,71,71,71,71,71,69,71,59,58,59,56,49,56,18,0
20,182,71,71,82,11,1731,372,14,1,3,3,0,2,77,70,59,76,25,65,54,74,68,68,74,77,68,50,54,79,76,78,75,63,68,74,78,68,68,60,48,27,66,54,64,66,22,14,18,14,5,9,8,8,73,70,71,71,71,70,71,71,63,71,52,49,52,49,43,49,17,1
32,172,63,71,71,0,1796,384,14,1,4,3,0,1,84,72,64,74,26,64,60,75,49,67,67,76,69,59,62,71,88,80,81,74,82,74,54,69,64,68,59,23,74,66,61,59,21,25,24,15,15,9,6,9,71,71,71,71,71,71,71,71,66,71,55,51,55,51,43,51,20,0
24,191,76,71,76,5,1625,357,1,1,3,2,2,0,53,40,57,58,74,75,47,37,72,67,32,54,34,32,60,63,64,44,55,72,39,53,54,79,75,35,73,72,43,59,39,68,75,75,72,8,10,10,8,13,56,54,55,55,55,54,59,59,64,59,68,72,68,70,74,70,19,0
27,175,70,71,71,0,1865,399,6,1,2,3,2,0,78,49,65,69,68,70,65,38,59,67,32,70,60,54,63,69,78,78,74,64,74,70,77,76,66,52,71,67,64,68,59,59,66,72,68,15,7,8,8,6,63,65,64,64,64,65,67,69,68,69,71,70,71,71,70,71,17,0
30,189,87,71,71,0,1668,365,1,1,3,2,2,0,62,56,46,53,72,76,40,56,73,56,32,50,33,35,46,52,65,59,53,63,52,75,80,64,83,46,74,63,48,42,60,70,73,75,72,13,9,7,10,9,61,52,55,55,55,52,54,55,55,55,63,65,63,65,71,65,18,0
27,185,79,71,72,1,1628,347,1,1,3,2,2,2,52,41,56,52,70,76,59,35,67,63,35,51,56,58,58,58,48,55,36,68,38,62,71,60,80,34,87,68,34,38,42,58,72,70,68,6,10,13,13,15,54,50,50,50,50,50,52,55,57,55,65,68,65,66,72,66,19,0
27,183,77,71,71,0,1773,379,14,1,4,3,0,0,77,69,63,69,32,69,58,70,70,64,63,69,55,51,65,70,77,77,74,67,65,76,85,71,78,64,41,23,70,69,62,66,45,17,19,13,13,7,10,15,71,69,70,70,70,69,71,70,65,70,53,52,53,51,47,51,20,0
20,182,77,71,82,11,1807,392,2,1,3,3,2,0,66,54,64,67,67,74,53,50,54,73,35,66,48,40,69,68,70,63,66,69,65,64,67,80,74,56,70,70,64,67,46,62,69,69,66,8,13,14,14,7,64,64,65,65,65,64,68,68,71,68,70,72,70,69,70,69,19,0
28,189,89,71,72,1,1829,394,2,1,3,2,2,0,59,60,68,63,70,74,45,52,69,78,42,62,46,62,81,71,61,58,45,71,46,74,71,61,84,65,66,68,52,69,72,59,73,69,67,9,10,9,13,8,66,62,64,64,64,62,68,66,72,66,67,72,67,68,72,68,19,0
23,177,78,71,79,8,1902,408,14,1,3,3,0,2,77,71,69,72,47,72,64,67,68,71,62,73,70,68,70,75,73,81,67,63,76,84,71,63,77,72,70,40,72,71,50,65,44,51,36,14,14,10,6,9,74,71,72,72,72,71,73,73,70,73,61,62,61,59,58,59,18,0
30,185,67,71,71,0,1851,395,4,1,3,3,2,0,64,61,71,73,60,66,59,59,55,78,62,70,65,51,75,76,63,65,79,69,78,60,42,73,67,66,63,58,63,73,57,77,64,61,50,12,11,6,15,6,67,68,68,68,68,68,71,71,71,71,67,70,67,65,63,65,19,0
33,175,74,71,71,0,1921,405,10,1,3,3,0,2,71,58,72,68,65,71,75,58,59,73,54,63,68,59,71,73,70,71,70,66,73,61,62,74,71,53,69,65,65,73,63,66,63,69,67,11,10,15,14,13,66,68,66,66,66,68,70,71,71,71,71,71,71,71,69,71,20,0
26,176,73,71,74,3,1781,382,13,1,2,2,2,2,71,42,64,65,67,73,67,38,62,69,39,60,47,39,63,71,70,71,66,65,77,53,78,76,73,37,66,65,65,65,42,65,65,72,70,8,10,6,15,11,61,62,61,61,61,62,65,67,67,67,71,70,71,71,70,71,19,0
29,191,85,71,71,0,1833,399,14,1,3,3,2,2,77,66,61,68,47,80,58,67,76,68,62,67,55,52,50,70,71,81,69,70,55,73,73,80,86,60,69,46,68,66,64,67,40,51,33,13,7,10,13,10,71,68,69,69,69,68,69,70,66,70,61,61,61,60,60,60,19,0
27,181,74,71,72,1,1832,394,0,1,2,3,2,2,84,66,69,67,43,65,58,66,67,71,62,65,73,58,66,68,80,88,71,72,73,63,41,80,66,70,50,45,67,78,62,67,40,40,35,11,9,15,15,7,70,70,70,70,70,70,72,72,70,72,62,60,62,60,53,60,19,0
29,183,80,71,71,0,1837,393,2,1,3,3,2,0,62,58,63,63,69,78,53,49,69,71,37,64,41,68,70,67,58,66,57,66,47,75,71,73,80,69,80,70,56,59,58,56,67,71,67,11,15,10,10,12,65,61,63,63,63,61,65,65,69,65,68,71,68,69,71,69,20,0
33,185,84,71,71,0,1829,388,14,1,3,3,2,2,70,69,60,67,40,82,60,73,77,61,63,68,55,46,52,67,72,69,65,69,61,77,91,75,85,54,80,34,72,68,67,69,28,46,36,6,15,15,12,10,71,67,69,69,69,67,68,69,64,69,57,56,57,56,57,56,19,0
32,190,83,71,71,0,1562,341,1,1,2,2,2,0,53,35,51,49,70,83,45,24,75,67,23,42,25,27,63,52,48,57,51,64,52,69,84,73,90,27,76,65,36,33,34,64,71,72,67,7,12,9,8,14,53,46,47,47,47,46,49,52,56,52,64,68,64,66,71,66,18,0
31,189,80,71,71,0,1659,354,1,1,3,2,2,2,54,42,54,57,71,76,36,36,69,66,34,52,32,54,66,63,53,55,52,68,61,63,71,65,84,35,69,71,41,46,51,67,72,73,66,7,12,9,14,13,56,51,53,53,53,51,56,56,61,56,64,70,64,66,71,66,20,0
24,187,80,71,75,4,1825,405,4,1,3,3,1,0,65,56,67,70,66,81,61,53,52,72,35,71,56,41,71,72,64,65,65,69,55,64,70,76,87,61,73,67,63,68,42,72,66,69,65,8,11,14,12,7,65,66,66,66,66,66,70,70,72,70,70,72,70,69,71,69,18,0
33,185,80,71,71,0,1725,365,1,1,3,2,0,2,51,53,58,56,71,76,38,49,69,70,42,51,48,64,60,58,46,55,63,69,54,63,76,64,84,54,72,71,39,57,63,59,74,69,65,5,6,9,7,11,59,53,55,55,55,53,59,56,63,56,64,70,64,65,71,65,16,1
30,166,61,71,71,0,1798,377,12,1,3,4,2,1,79,67,69,74,42,46,67,67,43,70,48,75,70,66,67,70,78,79,79,70,88,70,64,66,33,68,48,36,65,69,68,66,38,50,41,7,10,7,13,8,67,71,70,70,70,71,71,71,68,71,61,57,61,58,49,58,18,0
29,183,73,71,71,0,1796,383,9,1,3,3,2,2,69,46,64,67,68,69,70,43,57,66,41,66,68,61,57,67,66,71,69,68,73,47,70,81,69,46,56,67,60,61,52,61,68,71,67,8,10,8,4,8,60,63,61,61,61,63,64,67,66,67,71,69,71,71,68,71,16,0
21,183,75,71,81,10,1804,400,13,1,3,3,0,2,85,48,64,69,63,71,70,45,48,68,40,66,60,45,65,70,83,86,79,64,72,58,62,88,64,45,67,59,64,56,35,63,65,69,64,9,13,8,8,9,62,66,63,63,63,66,66,70,67,70,72,69,72,71,66,71,18,0
29,169,70,71,71,0,1737,374,0,1,3,3,2,2,76,68,66,71,41,52,49,72,43,73,42,68,68,70,63,74,76,76,70,69,77,65,43,60,51,70,49,53,74,70,58,71,44,32,33,8,9,13,8,7,69,70,71,71,71,70,71,71,69,71,59,59,59,56,49,56,17,0
21,177,69,71,82,11,1656,347,14,1,4,3,2,2,69,73,58,72,27,48,44,77,65,66,64,71,66,48,46,76,68,69,63,73,72,71,66,55,45,69,42,23,74,65,59,68,32,18,13,13,8,13,11,11,73,69,72,72,72,69,71,68,63,68,49,47,49,46,41,46,20,1
28,194,82,71,71,0,1822,385,1,1,3,2,2,0,48,62,64,60,72,79,49,53,73,72,35,59,56,67,70,63,50,47,61,67,33,74,66,72,87,73,70,71,54,61,76,62,72,72,71,6,6,7,14,15,64,59,61,61,61,59,64,62,68,62,67,71,67,68,71,68,18,0
24,172,72,71,76,5,1961,426,14,1,3,3,0,2,76,71,68,71,69,71,65,71,63,72,59,70,65,48,72,74,77,75,72,67,77,75,59,75,67,73,77,69,72,68,49,64,70,70,70,6,12,9,6,7,73,71,72,72,72,71,73,73,73,73,73,73,73,72,71,72,16,0
26,170,70,71,72,1,1783,370,0,1,3,2,2,2,70,71,69,74,31,55,71,71,63,71,69,71,68,59,64,74,74,67,85,74,85,72,31,60,56,72,52,32,75,69,64,72,33,22,21,12,7,14,10,15,72,72,72,72,72,72,72,72,68,72,56,53,56,52,45,52,20,0
28,180,73,71,71,0,1907,417,9,1,3,3,0,0,86,60,66,70,61,74,66,60,65,70,49,69,68,44,63,70,83,88,72,71,68,66,71,88,70,60,68,59,71,65,41,69,60,62,62,13,13,13,10,9,70,70,69,69,69,70,71,71,70,71,71,68,71,71,67,71,20,0
29,177,79,71,71,0,1801,387,14,1,3,3,2,1,81,69,59,68,35,75,58,70,72,63,67,67,69,64,46,67,82,81,73,67,70,74,73,66,84,62,62,33,70,59,70,70,27,34,29,8,10,6,11,7,71,68,68,68,68,68,68,68,61,68,55,52,55,54,52,54,17,0
31,170,60,71,71,0,1783,371,7,1,4,3,0,2,76,68,68,72,34,53,68,66,60,70,63,70,68,49,66,72,77,75,82,70,86,78,61,58,59,66,32,28,68,72,64,62,35,30,32,7,12,12,13,14,71,71,70,70,70,71,71,71,67,71,56,53,56,54,46,54,20,0
31,185,82,71,71,0,1931,400,6,1,5,3,0,0,53,63,66,69,70,79,64,62,74,71,40,72,59,39,67,68,54,52,61,72,60,76,84,86,76,62,74,70,67,65,49,69,68,72,69,23,17,18,23,17,69,66,67,67,67,66,69,69,71,69,71,71,71,71,71,71,28,0
27,170,73,71,71,0,1838,379,8,1,4,3,2,2,75,68,68,76,39,53,67,70,33,70,68,75,67,68,67,74,79,72,92,61,86,67,81,72,44,67,47,33,69,66,66,63,50,36,33,8,14,10,14,12,67,71,70,70,70,71,71,71,68,71,59,56,59,56,47,56,19,0
36,187,89,71,71,0,1969,394,1,2,2,3,0,2,48,66,74,67,72,67,80,57,68,74,72,66,82,76,75,70,42,52,60,67,57,80,74,39,78,73,72,69,64,67,68,73,75,72,70,14,12,15,16,13,68,65,65,65,65,65,68,67,70,67,68,71,68,68,71,68,22,0
23,187,68,71,78,7,1745,371,0,2,3,4,2,1,74,65,70,73,33,56,69,61,42,69,71,74,71,62,66,72,73,74,78,70,68,72,52,65,58,67,42,27,69,76,52,69,37,31,30,14,11,7,5,10,68,71,70,70,70,71,73,72,68,72,57,54,57,53,45,53,18,0
30,174,75,71,71,0,1847,395,0,1,1,4,0,2,64,65,77,73,46,70,73,63,37,79,43,74,69,76,78,74,67,61,74,63,76,68,52,73,71,72,70,65,70,80,51,70,46,40,37,7,11,9,7,11,67,71,70,70,70,71,71,71,71,71,65,66,65,60,56,60,17,0
22,188,83,71,78,7,1878,397,0,1,4,3,2,2,58,67,67,73,60,72,57,69,66,73,58,74,63,48,70,75,68,50,68,71,65,68,72,75,73,66,64,57,75,69,55,72,62,61,55,13,6,12,14,6,72,69,71,71,71,69,73,72,73,72,66,69,66,65,66,65,19,0
24,180,75,71,76,5,1921,416,4,1,3,3,0,2,65,68,66,73,64,80,60,67,68,71,58,75,62,53,64,74,64,65,67,72,59,70,70,86,82,69,70,63,71,67,66,71,60,68,62,9,10,7,6,6,72,69,70,70,70,69,72,72,73,72,70,71,70,69,70,69,17,0
33,183,80,71,71,0,1972,408,2,1,3,3,2,0,55,69,70,69,72,73,70,68,68,72,71,69,70,67,71,72,54,55,58,67,61,73,73,79,74,70,63,74,65,68,66,74,76,70,68,12,15,8,11,14,70,67,68,68,68,67,70,70,71,70,71,71,71,71,71,71,21,0
30,185,85,71,71,0,1178,391,5,1,2,1,2,2,72,67,65,75,44,68,15,15,21,37,13,14,20,15,24,20,45,42,35,68,58,49,66,33,58,13,20,20,15,28,25,43,22,20,20,72,67,65,68,75,31,26,28,28,28,26,30,30,30,30,30,31,30,31,31,31,71,0
31,194,94,71,71,0,1491,332,1,1,3,2,2,0,53,29,49,49,71,81,39,26,71,64,23,44,33,34,53,57,52,53,34,67,38,43,59,70,89,20,80,71,35,38,40,66,73,71,67,6,10,14,10,7,50,46,47,47,47,46,49,52,56,52,64,68,64,66,71,66,17,0
26,167,66,71,71,0,1978,414,12,1,4,2,2,2,73,66,69,73,58,75,74,66,67,68,59,74,68,66,65,72,74,73,75,70,73,70,68,78,68,62,88,51,70,69,65,65,62,56,59,6,16,16,15,15,71,71,70,70,70,71,71,71,70,71,69,67,69,67,66,67,21,0
22,174,69,71,78,7,1884,398,0,1,4,3,0,0,83,69,69,72,58,47,65,67,52,69,65,70,72,73,67,69,84,83,92,66,84,72,36,82,34,75,39,58,67,71,58,70,55,62,56,7,11,5,12,6,68,71,70,70,70,71,73,73,71,73,69,64,69,67,57,67,17,0
22,173,70,71,80,9,1877,394,4,1,4,3,0,0,65,62,73,74,56,64,66,56,36,74,66,74,71,75,72,76,65,65,72,64,75,74,59,80,62,63,48,62,59,77,65,70,56,60,53,11,8,11,8,14,65,68,68,68,68,68,72,72,73,72,68,68,68,65,60,65,18,0
29,176,73,71,71,0,1869,393,14,1,4,3,0,2,76,70,61,71,40,75,62,70,71,66,67,71,64,60,53,70,75,76,74,70,80,72,81,72,73,66,81,37,72,59,73,67,43,34,26,13,10,12,6,10,71,69,70,70,70,69,70,70,64,70,58,57,58,56,55,56,18,0
33,193,79,71,71,0,1775,358,14,2,3,2,2,0,33,74,62,62,48,79,60,72,89,63,80,62,63,46,63,72,29,37,39,67,30,85,84,44,93,69,86,45,69,66,73,72,36,47,50,14,14,12,10,6,71,61,65,65,65,61,66,62,65,62,54,60,54,54,63,54,19,0
25,168,60,71,74,3,1916,398,0,1,4,3,0,2,86,69,67,75,44,57,69,69,42,67,64,73,65,65,62,71,87,85,92,63,95,73,90,79,51,70,37,47,62,72,70,65,36,48,49,8,15,13,11,16,68,72,70,70,70,72,73,73,68,73,64,59,64,62,52,62,20,0
23,178,70,71,77,6,1829,394,7,1,3,3,0,0,74,61,67,76,50,66,65,63,48,73,46,76,56,42,68,75,78,71,82,71,81,68,59,71,59,56,78,49,71,68,43,68,48,54,48,15,10,13,14,10,69,71,70,70,70,71,73,74,71,74,65,65,65,63,59,63,21,1
30,179,72,71,71,0,1793,365,0,2,4,4,2,2,68,66,72,74,33,52,70,66,40,74,68,75,74,69,69,74,71,65,76,65,79,64,64,59,52,64,39,46,70,72,81,72,31,29,21,13,14,14,15,10,67,71,70,70,70,71,71,71,69,71,57,55,57,52,44,52,21,0
26,185,68,71,74,3,1928,408,4,1,3,3,2,2,68,64,69,70,65,72,63,61,55,73,58,66,62,67,72,72,68,68,74,71,76,70,68,81,71,68,66,68,65,70,64,74,64,68,64,8,7,8,6,6,68,68,68,68,68,68,71,71,73,71,71,72,71,70,68,70,16,0
25,189,81,71,74,3,1819,390,11,1,4,3,0,1,84,70,65,68,34,69,63,70,59,68,60,68,70,65,60,69,85,84,72,66,62,71,71,81,70,69,52,38,70,66,74,70,25,32,29,10,11,13,9,7,71,70,70,70,70,70,71,72,66,72,58,55,58,56,49,56,18,0
28,176,68,71,71,0,1952,408,4,1,3,3,2,2,72,66,70,70,62,68,62,59,39,73,54,67,69,66,74,71,74,71,78,66,84,75,58,84,60,71,72,65,71,72,74,70,62,67,59,15,8,15,9,8,67,69,69,69,69,69,71,71,71,71,70,71,70,68,64,68,18,0
22,178,78,71,78,7,1902,410,4,1,2,3,2,0,75,59,67,73,67,69,54,58,57,74,48,73,54,44,69,73,71,78,80,71,73,66,80,80,65,59,64,72,59,73,51,66,68,67,64,10,15,14,11,7,67,68,68,68,68,68,72,71,73,71,72,72,72,71,69,71,20,0
39,193,87,71,71,0,1646,336,14,1,3,3,2,1,41,76,63,62,27,67,52,75,79,62,77,63,67,74,58,70,42,40,43,64,30,80,45,31,86,76,72,12,78,75,75,76,22,28,20,12,7,6,14,11,71,63,68,68,68,63,68,63,62,63,42,48,42,41,46,41,19,0
31,173,64,71,71,0,1801,383,8,1,2,4,0,2,91,65,61,74,41,51,56,62,48,67,69,74,55,53,53,67,92,91,90,70,91,68,42,77,35,65,63,34,73,66,67,68,43,43,39,10,12,10,9,7,68,71,70,70,70,71,71,71,66,71,61,56,61,59,49,59,18,0
24,181,80,71,79,8,1903,410,2,1,3,3,0,2,72,61,66,68,66,77,53,52,64,73,56,68,57,55,70,69,70,74,63,66,69,78,80,79,79,69,71,68,55,69,53,66,64,68,65,10,9,12,10,5,67,65,66,66,66,65,69,68,71,68,70,72,70,69,71,69,17,0
34,175,68,71,71,0,1907,389,14,1,5,4,0,1,70,73,63,74,38,71,56,72,68,68,67,72,72,70,54,75,72,68,76,68,85,76,79,75,69,72,70,36,73,66,72,74,29,40,37,16,16,15,15,8,71,70,71,71,71,70,71,71,67,71,58,57,58,56,53,56,22,0
34,182,82,71,71,0,1900,389,0,1,3,3,2,2,53,73,75,73,47,68,77,70,44,75,65,72,79,78,74,75,58,48,67,73,67,78,53,59,70,74,79,46,74,74,73,78,42,56,41,8,15,14,12,10,70,71,71,71,71,71,71,71,71,71,62,65,62,59,57,59,20,0
27,177,73,71,71,0,1971,421,7,1,2,3,2,2,82,63,65,72,69,70,64,58,68,68,68,73,61,53,66,71,83,81,72,69,73,73,88,73,66,68,74,71,63,64,52,70,70,69,67,8,7,15,7,8,70,69,69,69,69,69,70,71,70,71,71,71,71,71,71,71,17,0
23,175,72,71,76,5,1907,412,11,1,3,3,0,0,81,62,65,72,64,68,67,57,54,67,39,73,69,46,64,69,82,81,82,69,71,73,63,75,67,67,64,65,73,66,45,71,60,70,69,14,11,8,15,12,69,70,69,69,69,70,71,72,70,72,72,69,72,71,67,71,21,0
23,183,72,71,77,6,1838,387,14,1,4,4,2,2,74,73,70,73,37,60,78,74,63,74,62,74,70,69,61,72,75,73,79,60,70,75,70,63,65,75,43,30,63,62,75,69,28,42,34,12,10,14,11,12,72,72,70,70,70,72,72,72,66,72,59,54,59,56,49,56,19,1
27,184,84,71,72,1,1788,380,14,1,3,2,0,0,62,69,62,66,36,85,53,68,78,70,69,67,59,49,59,66,52,71,63,74,46,78,81,76,89,64,87,25,73,63,62,68,34,34,23,6,12,13,15,9,72,66,68,68,68,66,69,68,65,68,54,56,54,52,55,52,20,0
24,181,78,71,74,3,1797,392,10,1,3,2,2,2,74,49,65,70,67,67,73,42,64,68,37,69,58,49,61,72,73,75,71,70,68,62,54,67,65,54,74,68,65,60,41,58,66,69,67,6,10,5,8,6,64,66,65,65,65,66,67,69,68,69,71,70,71,71,69,71,16,0
22,181,78,71,71,0,1774,372,14,1,3,3,2,2,72,72,60,67,32,69,50,74,69,66,69,66,60,55,61,69,71,73,69,68,62,72,79,76,73,66,47,30,73,61,75,70,28,26,24,12,12,12,14,12,71,67,69,69,69,67,69,69,65,69,53,52,53,51,47,51,21,0
30,174,71,71,71,0,1801,400,10,1,3,3,0,2,83,52,61,65,66,73,67,50,59,61,37,65,65,33,58,64,81,84,71,66,68,63,59,86,71,47,66,67,67,63,41,60,66,68,64,6,11,10,10,7,64,65,64,64,64,65,65,69,66,69,71,68,71,71,68,71,17,0
27,179,75,71,71,0,1883,407,11,1,4,3,0,2,78,70,67,70,50,72,70,68,54,70,68,71,69,61,63,70,77,79,67,69,77,71,52,70,81,74,55,54,70,64,67,66,55,48,33,8,12,7,16,13,71,71,70,70,70,71,71,71,69,71,64,63,64,62,58,62,20,1
27,185,77,71,73,2,1878,396,1,1,3,2,2,2,63,61,67,60,72,73,65,56,69,70,54,57,63,53,68,59,62,64,66,73,63,74,70,67,77,64,72,73,56,65,63,71,75,70,69,6,10,9,7,9,65,62,62,62,62,62,65,65,67,65,70,72,70,71,73,71,17,1
24,175,75,71,75,4,1902,407,4,1,3,3,2,2,68,61,67,73,65,73,59,59,46,73,42,72,45,56,70,72,77,61,79,72,85,68,67,81,68,62,75,64,70,71,49,73,67,70,63,12,7,14,14,12,67,69,69,69,69,69,72,72,73,72,71,72,71,69,68,69,20,0
25,185,75,71,76,5,1588,341,1,1,3,2,0,2,70,28,47,46,68,82,33,20,80,57,21,40,29,32,62,48,64,74,55,68,51,45,92,81,81,22,84,70,38,41,45,52,63,68,71,11,8,13,9,12,50,45,46,46,46,45,49,52,55,52,64,67,64,67,73,67,19,0
24,194,91,71,75,4,1631,361,1,1,3,2,2,2,58,44,54,55,71,79,33,38,70,65,19,52,44,54,59,58,55,61,53,66,40,71,66,64,90,38,73,70,37,54,42,74,70,72,70,15,8,6,10,8,57,51,53,53,53,51,56,55,60,55,63,69,63,66,73,66,18,0
32,172,66,71,71,0,1791,378,8,2,3,4,0,1,83,67,66,75,38,49,64,65,64,68,69,75,64,65,59,73,82,84,85,67,86,69,70,60,45,66,40,25,67,70,69,70,55,27,20,6,7,6,5,14,70,71,71,71,71,71,71,71,65,71,56,52,56,53,47,53,16,0
31,177,72,71,71,0,1857,389,14,1,4,3,0,2,80,71,64,75,31,68,63,71,74,65,72,75,68,62,62,74,79,80,80,67,74,72,73,69,68,70,64,33,72,65,73,75,24,24,25,12,13,15,7,12,71,71,71,71,71,71,71,71,66,71,56,53,56,53,48,53,19,0
24,191,75,71,74,3,1648,354,1,1,3,2,2,2,58,37,55,60,72,72,38,32,70,66,33,58,41,35,63,64,53,62,51,68,64,52,74,61,77,32,73,71,39,53,44,67,70,74,72,10,10,12,14,12,55,52,54,54,54,52,57,57,62,57,65,70,65,67,73,67,20,1
30,183,70,71,71,0,1980,414,4,1,4,3,0,0,67,69,68,71,66,73,56,66,64,72,56,70,66,70,70,73,74,62,71,71,61,78,80,84,68,68,70,66,64,70,75,68,66,67,62,8,14,15,14,9,71,68,70,70,70,68,71,71,71,71,70,71,70,69,69,69,20,0
27,187,80,71,71,0,1932,421,6,1,3,2,0,2,81,68,62,64,66,80,66,62,64,68,45,65,59,52,68,61,72,89,72,64,61,83,85,89,82,75,62,69,60,48,55,69,65,66,62,15,14,14,9,11,69,66,65,65,65,66,66,68,67,68,71,69,71,71,70,71,20,0
31,180,79,71,71,0,1687,356,14,1,2,2,2,1,71,72,54,66,31,62,42,74,75,65,73,63,49,50,45,68,69,73,70,70,68,70,73,70,65,70,43,25,75,54,69,65,26,27,22,6,10,7,14,7,71,66,68,68,68,66,68,66,61,66,51,49,51,49,46,49,18,0
32,182,72,71,71,0,1774,376,10,1,3,2,2,2,73,40,63,64,68,68,66,28,63,66,49,59,57,49,63,68,74,72,73,66,64,50,75,68,68,52,65,68,57,58,38,59,66,70,72,14,13,8,7,8,58,61,59,59,59,61,63,65,65,65,70,69,70,71,70,71,18,1
20,183,71,71,81,10,1839,408,2,1,2,2,2,2,76,60,63,69,68,72,50,53,62,73,48,68,50,38,70,73,77,75,66,68,66,70,66,80,69,75,71,66,56,62,39,66,70,68,67,8,8,9,8,10,67,66,67,67,67,66,70,69,71,69,71,72,71,71,70,71,17,0
29,181,80,71,71,0,2001,416,2,2,3,3,0,0,65,66,69,70,72,74,64,55,68,74,71,69,64,64,69,72,66,65,67,68,62,78,68,67,73,74,86,74,73,68,68,73,68,76,75,15,10,5,14,11,70,68,69,69,69,68,71,70,71,70,71,71,71,71,71,71,20,0
29,175,67,71,71,0,1810,393,13,1,3,3,0,2,76,47,63,69,66,72,69,50,55,67,33,68,54,37,58,68,78,75,78,67,73,46,82,80,67,44,74,64,58,60,45,64,66,69,68,13,13,6,10,15,61,65,62,62,62,65,66,69,66,69,71,69,71,71,69,71,20,0
21,170,67,71,80,9,1802,378,11,1,4,3,0,2,81,67,64,72,36,58,68,68,64,64,57,72,64,61,54,70,84,79,84,67,82,68,75,77,54,67,42,34,68,66,58,64,36,30,32,9,12,9,14,13,70,71,69,69,69,71,71,72,65,72,59,53,59,56,48,56,20,1
22,179,69,71,80,9,1827,388,13,1,3,3,0,2,84,47,61,75,62,59,65,46,67,68,52,75,61,31,44,71,89,79,89,70,85,41,81,78,45,51,65,65,64,65,40,62,62,58,62,11,15,10,12,10,63,69,66,66,66,69,69,71,66,71,71,65,71,70,65,70,20,1
22,193,78,71,78,7,1098,376,5,1,3,1,2,2,70,69,66,72,28,71,12,19,12,29,19,27,10,13,15,28,26,31,39,68,29,50,37,23,61,16,41,23,11,41,13,43,8,24,25,70,69,66,71,72,31,28,30,30,30,28,32,29,31,29,28,31,28,28,31,28,72,0
32,185,80,71,71,0,1901,381,2,1,3,3,2,0,35,66,71,66,67,76,61,55,59,73,53,68,78,81,72,71,36,34,45,65,57,82,85,72,76,78,78,66,59,72,69,71,67,70,68,8,8,6,16,13,65,62,64,64,64,62,68,65,71,65,67,71,67,66,71,66,19,0
22,182,75,71,78,7,1598,347,14,1,3,3,2,1,85,70,51,71,19,51,28,73,59,68,59,72,50,54,47,71,83,86,78,75,62,68,57,51,59,70,27,16,74,47,62,58,12,16,14,11,9,15,10,15,73,68,71,71,71,68,70,67,60,67,46,43,46,43,37,43,20,0
24,179,66,71,78,7,1814,387,9,1,3,2,2,2,71,46,61,69,66,74,66,44,69,65,48,67,62,38,58,69,72,71,80,67,71,46,75,87,69,47,70,64,59,56,46,68,65,67,66,7,12,12,5,14,62,64,61,61,61,64,64,67,66,67,71,68,71,70,69,70,18,0
