FullName,Age,Height,Weight,Overall,Potential,Growth,TotalStats,BaseStats,BestPosition,Club,IntReputation,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,STRating,LWRating,LFRating,CFRating,RFRating,RWRating,CAMRating,LMRating,CMRating,RMRating,LWBRating,CDMRating,RWBRating,LBRating,CBRating,RBRating,GKRating,Top_5_league
Franco Russo,27,185,78,70,73,3,1541,337,1,RCD Mallorca,1,3,2,2,2,62,33,52,48,72,70,41,31,62,68,32,37,37,29,57,65,55,67,33,64,49,44,91,73,73,25,55,76,24,39,50,55,73,72,70,11,8,11,14,5,50,47,47,47,47,47,50,53,58,53,67,69,67,69,72,69,18,1
Rémy Dugimont,36,182,75,70,70,0,1881,389,13,AJ Auxerre,1,3,3,0,1,55,73,70,69,40,82,72,73,73,72,69,70,68,69,67,69,53,57,77,58,61,74,78,91,83,74,70,39,77,68,70,68,46,29,26,6,7,11,12,12,70,69,69,69,69,69,70,70,69,70,59,59,59,55,54,55,17,1
Andy Rinomhota,25,175,72,70,74,4,1890,412,1,Cardiff City,1,3,3,0,0,80,54,59,68,71,80,56,53,66,66,57,69,59,35,57,65,76,84,66,68,83,58,72,83,80,53,80,71,57,59,45,65,69,74,74,13,8,12,13,9,65,64,64,64,64,64,66,68,66,68,73,71,73,73,74,73,19,0
Cristian Ferreira,22,175,69,70,76,6,1982,413,0,Newell's Old Boys,1,3,3,2,1,76,71,74,73,57,62,75,63,55,72,71,73,80,80,75,72,75,76,79,67,75,86,61,65,59,75,65,55,68,75,67,75,57,60,58,10,11,5,8,9,71,72,71,71,71,72,74,74,72,74,68,67,68,67,62,67,18,0
Alhassan Yusuf,21,173,66,70,77,7,1936,416,0,Royal Antwerp FC,1,3,3,0,0,78,60,66,74,62,76,59,59,48,71,51,72,60,51,69,70,81,76,89,70,85,65,80,93,65,64,80,72,62,69,46,74,59,65,60,14,9,6,7,9,66,69,68,68,68,69,72,72,72,72,72,72,72,70,67,70,18,0
Kristijan Bistrović,24,183,75,70,76,6,1885,403,4,Lecce,1,3,3,2,2,67,68,69,67,68,64,63,63,62,74,74,72,56,72,71,66,64,69,56,68,61,78,56,67,63,76,65,68,54,69,49,60,66,72,71,10,7,6,7,10,68,66,67,67,67,66,70,69,71,69,70,71,70,70,69,70,17,1
Jean Carlos Pineda,24,179,70,70,75,5,1834,403,0,Independiente Medellín,1,3,2,2,2,75,66,65,71,67,59,55,68,52,72,52,72,58,51,69,73,80,70,70,69,71,62,48,70,59,70,48,68,66,65,52,58,70,70,63,6,7,10,12,6,68,69,69,69,69,69,72,71,72,71,70,70,70,69,66,69,17,0
Walmer Pacheco,27,172,63,70,71,1,1737,379,9,Junior FC,1,3,3,0,2,87,43,58,64,62,65,67,47,44,66,34,64,45,38,55,60,90,84,81,58,79,40,81,90,47,35,73,65,62,45,42,53,63,65,66,7,12,13,7,12,57,63,59,59,59,63,62,67,62,67,71,65,71,70,64,70,17,0
Kevin Rüegg,23,173,80,70,76,6,1874,413,10,BSC Young Boys,1,3,3,2,2,79,57,64,71,65,77,67,54,64,68,45,71,58,39,68,70,78,79,70,66,78,68,79,73,79,62,77,63,67,59,30,71,65,65,65,6,9,8,11,13,68,68,67,67,67,68,69,71,68,71,70,69,70,70,70,70,18,0
Ivanildo Jorge Mendes Fernandes,26,193,83,70,75,5,1479,331,1,FC Vizela,1,4,2,2,2,59,28,47,48,68,81,37,21,70,61,27,46,27,30,52,54,55,62,31,69,29,45,71,72,89,25,77,69,31,40,39,62,67,69,68,12,6,14,9,5,50,45,46,46,46,45,49,51,55,51,63,67,63,65,72,65,17,0
Matisse Samoise,20,180,70,70,79,9,1864,404,10,KAA Gent,1,3,2,0,0,77,61,66,68,62,70,69,64,47,68,49,69,63,58,64,67,76,78,73,64,67,63,71,90,62,60,67,63,63,64,47,63,61,66,64,5,8,6,15,13,66,68,66,66,66,68,69,71,69,71,71,68,71,70,65,70,18,0
José Manuel Arias Copete,22,192,73,70,80,10,1550,339,1,RCD Mallorca,1,2,2,2,2,60,33,51,54,71,70,36,32,74,64,36,50,35,29,60,61,62,58,40,62,50,43,68,66,70,22,75,73,31,44,45,62,69,73,68,11,13,9,13,8,52,48,49,49,49,48,52,54,58,54,64,68,64,66,72,66,19,1
Bradley Locko,20,180,65,70,79,9,1769,387,5,Stade de Reims,1,2,2,2,2,75,51,60,68,67,66,61,48,68,66,28,69,60,42,58,69,74,76,64,65,69,59,64,68,67,55,62,67,56,52,49,61,65,68,68,13,11,7,9,12,63,64,63,63,63,64,64,66,65,66,69,67,69,70,69,70,19,1
Nouhou Tolo,25,178,79,70,71,1,1733,390,5,Seattle Sounders FC,1,2,3,2,0,89,36,53,61,67,84,53,28,51,58,30,59,50,24,55,59,89,89,69,66,67,54,85,83,83,33,85,68,50,50,44,60,66,71,67,11,10,9,11,6,56,58,56,56,56,58,58,62,60,62,70,68,70,70,71,70,18,0
Eldar Ćivić,26,182,76,70,72,2,1861,403,8,Ferencvárosi TC,1,3,3,0,2,84,54,64,71,61,69,78,50,59,64,44,69,70,66,51,75,83,84,72,67,68,71,60,73,66,49,76,63,59,58,47,64,53,66,64,14,8,9,15,10,66,68,66,66,66,68,67,70,65,70,71,66,71,70,66,70,20,0
Kyriakos Papadopoulos,30,185,87,70,70,0,1630,332,1,FC U Craiova 1948,2,3,2,1,2,50,42,50,47,68,75,44,23,77,57,44,39,44,43,55,53,52,49,50,62,58,71,86,48,83,58,88,63,35,42,46,59,66,70,72,11,10,12,9,10,53,45,47,47,47,45,49,49,54,49,59,64,59,62,70,62,18,0
Jarosław Niezgoda,27,185,77,70,70,0,1666,368,13,Portland Timbers,1,5,3,2,2,79,71,52,68,35,63,29,74,69,64,57,67,49,40,47,68,77,80,72,68,60,72,68,64,72,65,39,21,70,62,72,70,37,31,30,11,6,7,7,11,70,66,69,69,69,66,69,66,61,66,51,50,51,50,48,50,17,0
Mohanad Jeahze,25,179,65,70,74,4,1864,398,8,Hammarby IF,1,2,2,0,2,81,53,65,70,61,68,72,52,48,64,45,68,64,64,61,69,80,82,81,64,82,61,80,89,56,52,70,59,59,65,42,62,60,66,65,6,10,13,8,7,62,67,64,64,64,67,67,70,67,70,71,67,71,70,64,70,16,0
Damjan Đoković,32,188,85,70,70,0,1925,409,2,Al Raed,1,3,2,2,2,65,64,67,67,65,81,67,60,60,70,55,66,73,64,69,71,62,68,67,69,50,73,70,75,87,62,75,63,68,61,76,71,63,70,63,14,10,8,10,6,69,66,67,67,67,66,69,69,70,69,69,70,69,69,70,69,18,0
Binbin Liu,29,177,72,70,70,0,1817,392,6,Shandong Taishan,1,3,3,2,2,84,66,64,69,44,65,66,69,62,66,60,70,59,54,60,66,84,84,81,62,70,63,72,75,63,65,56,38,66,63,52,66,47,42,38,15,12,14,14,9,69,69,68,68,68,69,69,70,65,70,61,57,61,59,54,59,20,0
Johannes Eggestein,24,183,75,70,76,6,1805,378,0,FC St. Pauli,1,4,3,0,0,70,68,70,74,36,60,69,68,65,72,70,74,73,52,69,76,73,68,74,70,71,71,71,67,64,65,37,37,68,73,66,71,44,24,20,14,10,8,7,15,72,71,71,71,71,71,74,73,69,73,57,56,57,54,48,54,20,0
Ben Gibson,29,185,78,70,70,0,1502,318,1,Norwich City,1,3,2,1,2,50,27,48,46,71,76,29,24,72,62,20,40,38,22,57,50,52,48,47,58,60,35,78,67,82,22,73,70,27,44,48,55,70,73,71,12,8,16,16,11,46,42,43,43,43,42,47,48,54,48,61,67,61,63,70,63,19,0
Luca Fiordilino,25,177,68,70,72,2,1969,419,12,Venezia FC,1,4,3,2,0,83,58,69,72,68,69,66,52,57,74,57,69,65,57,71,74,81,84,80,74,78,68,77,77,63,63,73,74,52,67,58,66,68,68,62,13,11,15,10,11,66,69,67,67,67,69,71,72,72,72,72,72,72,72,70,72,20,0
Phil Neumann,24,192,82,70,75,5,1717,394,9,Hannover 96,1,3,2,2,0,88,33,61,66,69,77,68,28,65,67,28,65,45,22,60,70,84,92,65,62,63,36,57,80,81,38,66,69,48,56,38,52,70,70,69,14,12,12,10,7,57,62,58,58,58,62,62,67,64,67,73,70,73,74,72,74,18,0
Otabek Shukurov,26,183,77,70,73,3,1926,406,4,Fatih Karagümrük S.K.,1,4,2,2,0,66,65,69,70,67,69,62,62,61,72,58,68,65,62,72,73,65,67,69,68,66,72,59,71,70,67,68,68,68,71,67,72,66,69,65,11,12,7,13,12,69,68,69,69,69,68,71,70,72,70,70,72,70,69,69,69,20,0
Lino Tempelmann,23,174,74,70,75,5,1876,404,0,1. FC Nürnberg,1,3,3,0,2,81,53,65,73,66,66,54,52,67,71,47,73,53,43,66,72,83,80,78,72,84,52,83,80,59,58,64,68,70,71,36,65,64,69,61,9,8,13,10,6,67,69,69,69,69,69,72,72,72,72,71,71,71,71,69,71,18,0
Antônio Carlos Cunha Capocasali Jr,29,191,79,70,70,0,1516,330,1,Orlando City Soccer Club,1,2,2,2,0,58,34,43,44,71,80,30,28,73,56,36,33,32,35,50,52,61,55,59,65,32,48,65,69,89,29,74,70,30,33,45,60,68,73,69,13,6,10,12,16,50,43,44,44,44,43,46,47,52,47,61,65,61,64,70,64,20,0
Loris Benito,30,186,85,70,70,0,1842,387,5,BSC Young Boys,1,3,2,2,2,67,51,63,63,67,76,66,43,64,63,44,62,58,54,65,62,65,69,69,68,55,62,81,87,74,54,66,69,63,64,56,66,69,66,63,15,15,16,8,7,62,62,61,61,61,62,64,66,67,66,70,69,70,70,69,70,20,0
Leonardo Ruiz,26,185,69,70,72,2,1693,357,13,Rio Ave FC,1,3,3,2,2,71,70,58,71,23,64,57,70,67,62,68,72,74,46,46,72,69,73,73,70,62,74,61,63,66,68,59,19,71,58,66,66,19,16,15,12,9,12,10,14,72,68,69,69,69,68,69,68,61,68,49,46,49,46,42,46,20,0
Amari'i Bell,28,180,77,70,70,0,1749,381,8,Luton Town,1,2,3,0,2,77,49,59,65,64,67,66,47,53,64,45,67,42,45,58,65,77,77,63,64,71,55,76,78,64,49,59,66,49,50,51,55,67,63,64,6,9,14,13,12,60,62,60,60,60,62,62,66,63,66,70,66,70,69,66,69,18,0
Veljko Birmančević,24,179,67,70,76,6,1784,382,0,Toulouse Football Club,1,4,3,0,1,81,65,66,74,37,59,58,66,41,70,58,76,65,67,62,68,83,80,88,66,76,65,52,78,58,65,41,35,67,69,61,63,39,35,38,14,11,11,14,7,67,70,69,69,69,70,72,72,67,72,60,56,60,56,47,56,19,1
Issouf Sissokho,20,174,67,70,79,9,1795,386,2,FC Girondins de Bordeaux,1,3,2,0,0,70,53,61,66,67,69,53,49,61,68,39,64,42,42,66,65,68,71,66,68,84,61,61,92,56,55,74,68,59,64,49,66,66,70,66,8,10,10,12,8,62,62,63,63,63,62,66,67,69,67,70,71,70,70,68,70,18,0
Diego Valencia,22,184,75,70,81,11,1662,366,13,US Salernitana 1919,1,3,3,2,2,73,67,59,71,26,70,59,72,70,66,51,72,41,33,57,71,71,74,70,66,69,72,74,74,74,56,56,17,72,59,56,61,31,16,15,13,5,11,13,6,72,68,69,69,69,68,69,70,63,70,51,49,51,48,44,48,18,1
Giacomo Vrioni,23,188,85,70,76,6,1685,364,13,New England Revolution,1,4,4,0,1,75,70,56,68,24,71,39,73,63,64,66,68,61,62,51,71,68,80,64,67,62,68,58,65,78,66,64,21,70,58,74,62,23,16,21,6,9,8,11,10,72,66,68,68,68,66,68,66,61,66,49,48,49,46,44,46,17,0
Dominik Baumgartner,25,187,72,70,74,4,1589,349,1,RZ Pellets Wolfsberger AC,1,2,2,2,0,67,35,52,51,70,74,51,29,70,64,22,42,41,24,61,57,65,68,61,68,59,52,71,71,76,31,72,69,41,35,36,58,71,71,68,8,5,11,8,11,53,50,50,50,50,50,52,55,57,55,66,68,66,68,72,68,17,0
Mohammed Al Buraik,29,173,61,70,70,0,1898,403,9,Al Hilal,1,3,3,0,2,77,57,70,69,64,66,73,55,54,68,43,69,70,69,68,72,73,80,65,64,74,64,81,77,61,53,60,65,74,71,55,65,64,64,67,10,9,10,7,9,66,69,68,68,68,69,70,70,70,70,70,69,70,70,66,70,17,0
Michele Camporese,30,186,75,70,70,0,1488,333,1,Urbs Reggina 1914,1,3,2,0,2,68,30,38,53,72,72,15,21,76,58,11,47,21,20,54,54,62,73,60,61,63,49,83,65,76,38,67,68,20,23,40,67,72,73,71,11,8,7,9,12,49,43,44,44,44,43,47,47,52,47,61,65,61,64,70,64,17,0
Martín Rodríguez,27,170,68,70,70,0,1845,389,7,D.C. United,1,4,3,2,2,83,62,67,72,47,58,67,62,57,67,58,72,67,70,65,70,82,84,85,65,78,68,73,65,53,60,58,50,65,67,52,67,37,51,46,14,12,8,11,6,68,70,68,68,68,70,70,70,67,70,63,60,63,61,55,61,19,0
Thiago Rangel Cionek,36,183,80,70,70,0,1486,314,1,Urbs Reggina 1914,1,3,2,2,0,51,26,44,52,70,71,35,22,65,55,34,46,31,25,52,56,51,51,53,64,59,31,92,54,79,26,68,72,30,36,39,65,70,71,72,6,8,8,9,16,46,44,44,44,44,44,47,48,53,48,61,65,61,63,70,63,18,0
Marcus Rohdén,31,182,76,70,70,0,1962,415,4,Frosinone,1,4,3,0,2,74,66,66,70,59,80,60,62,42,71,65,67,64,49,70,69,71,76,76,77,74,77,77,93,72,64,83,63,67,67,66,75,54,68,56,13,12,10,13,14,69,68,69,69,69,68,70,70,70,70,70,70,70,69,66,69,22,0
Ashley Du Preez,24,176,67,70,74,4,1824,380,13,Kaizer Chiefs,1,5,2,0,1,81,73,56,67,39,64,46,74,80,57,59,67,57,59,52,60,80,82,73,68,90,70,85,77,63,76,45,33,67,68,81,67,32,37,36,10,13,13,5,9,72,66,68,68,68,66,68,67,62,67,55,52,55,55,51,55,18,0
Yevhen Konoplyanka,32,178,70,70,70,0,1803,375,6,Cracovia,2,3,4,2,1,73,70,69,72,32,59,70,68,51,72,67,70,76,73,63,72,74,73,76,76,78,73,62,41,71,73,52,37,70,64,70,75,25,30,27,5,11,15,9,9,70,70,70,70,70,70,70,70,66,70,55,54,55,52,48,52,18,0
Edson André Sitoe,33,186,80,70,70,0,1663,343,1,Estoril Praia,2,3,2,2,2,37,48,56,63,70,69,40,44,73,69,50,59,55,38,55,69,34,40,59,67,64,49,75,48,76,59,74,71,43,54,38,69,70,70,67,10,14,7,11,11,57,54,56,56,56,54,60,56,63,56,62,69,62,63,70,63,19,0
Tommy St. Jago,22,186,68,70,79,9,1658,365,1,FC Utrecht,1,3,2,2,2,78,34,52,60,70,71,44,27,69,64,31,53,30,36,56,64,77,78,72,68,64,57,83,68,71,26,71,71,33,45,45,68,69,71,72,10,9,5,9,10,54,54,53,53,53,54,56,58,59,58,68,68,68,70,72,70,18,0
Jalil Elías,26,175,69,70,72,2,1903,402,2,San Lorenzo de Almagro,1,2,3,2,2,68,57,68,69,68,72,67,50,61,72,47,66,58,53,69,71,70,67,70,70,74,65,70,82,66,63,75,70,66,69,57,71,67,68,70,9,6,13,9,13,65,67,66,66,66,67,70,70,72,70,72,72,72,72,70,72,18,0
Tatsuhiro Sakamoto,25,170,63,70,73,3,1826,379,0,KV Oostende,1,3,3,0,2,75,66,67,71,40,60,69,66,45,67,61,72,69,68,64,66,79,72,81,65,82,65,70,74,48,69,71,38,72,68,52,63,32,47,46,12,7,12,7,10,67,70,68,68,68,70,71,71,67,71,61,58,61,58,51,58,17,0
Alessandro Ciranni,26,173,73,70,73,3,1879,393,12,SV Zulte Waregem,1,3,3,0,2,72,57,65,69,64,66,72,49,51,66,59,67,76,72,64,68,74,71,76,67,83,67,51,75,62,68,68,66,53,54,54,66,64,68,65,8,11,10,7,13,62,65,62,62,62,65,65,67,66,67,70,68,70,70,66,70,18,0
Mikel Rico Moreno,37,179,75,70,70,0,1858,375,2,FC Cartagena,1,3,2,2,2,32,68,66,66,71,72,55,67,58,71,53,63,52,63,70,68,35,29,66,75,70,78,71,65,75,65,72,76,69,71,60,74,69,73,69,15,7,10,9,9,67,62,65,65,65,62,68,64,70,64,67,70,67,66,70,66,19,0
José Rodríguez Martínez,27,181,75,70,71,1,1898,397,4,Royale Union Saint-Gilloise,1,3,3,2,2,56,64,69,70,67,71,68,61,62,71,54,70,63,63,70,72,55,56,66,69,66,70,57,73,71,66,72,71,64,68,68,65,67,68,64,9,13,9,15,7,67,66,67,67,67,66,70,69,71,69,70,71,70,69,70,69,19,0
Adewale Sapara,27,175,69,70,70,0,1760,369,7,Portimonense SC,1,4,3,0,2,81,71,62,73,28,54,63,70,62,62,67,74,69,60,58,70,82,81,82,67,80,77,70,65,54,71,38,23,61,64,72,69,21,28,26,14,6,7,9,7,70,70,69,69,69,70,70,70,63,70,54,48,54,51,43,51,17,0
Olisa Ndah,24,190,80,70,78,8,1735,378,1,Orlando Pirates,1,5,2,2,2,79,45,54,55,72,73,46,42,64,64,41,50,44,47,52,53,78,80,63,65,74,58,87,83,72,39,60,71,44,52,47,62,69,79,73,7,7,11,7,6,57,55,55,55,55,55,57,59,60,59,69,68,69,71,72,71,15,0
Marcel Büchel,31,175,71,70,70,0,1878,398,2,Ascoli,1,3,3,2,2,70,57,69,71,62,69,60,48,48,77,58,69,64,58,68,73,76,65,75,66,84,67,72,80,63,65,68,72,66,67,56,65,60,62,62,8,4,3,7,7,65,67,67,67,67,67,70,70,70,70,70,70,70,69,66,69,15,0
Martin Baturina,19,172,68,70,86,16,1891,406,0,Dinamo Zagreb,1,4,3,2,2,74,64,71,78,57,62,67,58,49,73,67,80,64,69,70,79,77,72,76,63,75,71,60,73,56,72,64,57,55,73,63,77,58,58,57,7,5,7,10,6,67,71,70,70,70,71,73,73,72,73,68,67,68,66,61,66,15,0
Riza Durmisi,28,173,69,70,70,0,1937,407,5,CD Leganés,1,3,3,0,2,75,61,68,71,66,66,70,53,66,67,54,71,72,71,63,70,74,75,72,66,80,79,78,72,56,67,80,66,60,72,40,64,65,66,68,10,6,6,11,11,67,68,67,67,67,68,70,70,69,70,70,69,70,70,69,70,18,0
Máximo Perrone,19,178,64,70,85,15,1742,381,4,Vélez Sarsfield,1,3,2,2,2,62,54,63,73,69,60,47,54,53,74,47,75,52,35,70,76,64,60,66,61,63,56,47,75,60,52,44,75,64,65,44,63,70,69,68,11,10,15,9,11,63,65,66,66,66,65,70,68,72,68,70,71,70,69,67,69,18,0
Mickaël Le Bihan,32,185,85,70,70,0,1819,370,13,Dijon FCO,1,3,3,0,0,49,72,60,69,46,74,56,71,71,62,68,69,59,63,55,71,58,42,64,70,64,78,82,64,80,69,67,52,75,62,69,71,41,40,39,13,16,8,8,13,70,65,68,68,68,65,68,66,65,66,57,59,57,55,58,55,21,0
Søren Rieks,35,185,76,70,70,0,1959,414,7,Malmö FF,1,4,3,2,0,70,70,67,70,64,73,66,71,56,68,74,69,74,63,62,71,70,70,77,67,63,68,47,80,73,70,71,68,70,71,62,72,68,62,61,14,13,12,15,13,70,70,69,69,69,70,70,70,70,70,70,70,70,69,67,69,22,0
Curtis Davies,37,188,76,70,70,0,1491,316,1,Derby County,2,3,2,2,0,43,36,46,52,73,66,25,32,73,61,33,42,26,25,58,63,44,42,52,67,50,49,75,45,75,34,65,75,42,40,33,71,74,71,69,7,9,10,15,10,52,46,49,49,49,46,52,49,57,49,59,67,59,62,70,62,18,0
Steven Moreira,27,179,75,70,70,0,1687,366,9,Columbus Crew,1,2,3,2,2,68,32,65,65,66,70,68,26,55,71,35,63,43,29,65,63,70,66,76,66,68,43,47,81,65,28,74,69,56,67,37,62,68,66,65,10,14,9,15,9,54,60,57,57,57,60,63,66,66,66,70,70,70,70,67,70,20,0
Baba Rahman,27,180,72,70,70,0,1848,397,8,Reading,1,4,3,2,2,75,55,64,68,66,69,69,52,65,65,41,68,72,43,66,69,74,76,68,66,71,68,71,73,68,54,67,66,64,60,42,66,64,68,68,12,11,6,11,10,66,66,65,65,65,66,67,69,67,69,70,69,70,70,69,70,19,0
Emiliano Marcondes,27,182,75,70,70,0,1824,386,0,AFC Bournemouth,1,3,3,0,2,72,68,68,71,42,65,64,70,53,68,57,70,69,70,65,72,72,72,76,71,69,69,60,71,65,67,57,31,69,71,66,58,39,50,41,7,8,10,12,13,70,70,70,70,70,70,70,70,68,70,60,59,60,58,53,58,19,1
Carlos Benavídez,24,185,77,70,72,2,1766,378,1,Deportivo Alavés,1,3,2,2,0,67,44,63,63,71,70,60,38,68,69,36,60,45,43,61,66,69,65,62,69,62,64,72,64,68,38,81,72,40,65,53,70,69,73,72,14,9,14,12,13,58,59,58,58,58,59,62,63,65,63,70,71,70,70,72,70,20,0
Abdul-Aziz Yakubu,23,187,79,70,78,8,1631,358,13,Rio Ave FC,1,3,2,0,1,85,69,50,64,21,69,43,73,69,55,56,64,46,37,42,63,83,86,70,70,62,67,74,68,81,62,40,19,71,56,72,58,16,12,15,11,8,15,15,10,72,65,67,67,67,65,66,65,57,65,47,43,47,45,41,45,20,0
Tyronne Ebuehi,26,187,72,70,72,2,1733,385,9,Empoli,1,3,2,2,0,87,40,54,66,65,73,60,37,54,64,30,66,41,33,52,64,83,90,71,65,62,53,89,78,69,30,71,64,53,41,47,63,65,67,69,8,16,16,11,14,58,61,58,58,58,61,60,65,60,65,70,66,70,70,68,70,20,1
Facundo Colidio,22,179,68,70,80,10,1756,367,13,Club Atlético Tigre,1,4,3,0,2,71,70,66,72,35,53,61,71,71,70,65,72,60,55,63,73,72,70,75,68,73,71,68,70,50,70,34,40,70,68,67,65,40,21,16,6,9,13,12,12,72,70,71,71,71,70,72,71,67,71,56,53,56,52,46,52,18,0
Ádám Szalai,34,193,93,70,70,0,1649,346,13,FC Basel 1893,2,3,3,0,2,34,72,58,62,44,76,49,73,81,67,70,63,58,42,48,69,34,34,33,74,36,80,36,52,89,61,82,44,76,64,71,78,39,42,25,14,12,6,16,9,70,61,66,66,66,61,66,62,64,62,51,58,51,50,57,50,21,0
Antonio Milić,28,190,81,70,71,1,1614,337,1,Lech Poznań,1,3,2,2,2,40,42,59,51,73,72,63,34,71,58,37,43,68,64,59,62,38,41,41,67,42,57,36,60,82,45,71,72,44,52,43,65,75,72,69,11,8,8,11,10,54,50,50,50,50,50,53,54,59,54,65,68,65,66,71,66,18,0
Stjepan Lončar,25,187,74,70,74,4,1824,394,4,KV Kortrijk,1,3,2,2,0,61,62,65,69,64,73,57,61,54,69,61,71,60,49,72,71,59,62,53,70,55,62,61,75,72,66,75,65,68,68,48,74,64,70,58,13,10,10,6,9,67,66,67,67,67,66,70,69,72,69,68,71,68,67,68,67,18,0
Jose Antonio Delgado Villar,29,178,72,70,70,0,1886,397,4,Damac FC,1,3,3,2,2,69,63,70,72,60,63,61,59,49,75,48,71,72,72,72,76,68,69,76,62,74,71,59,71,63,69,55,60,63,68,65,59,62,64,56,8,11,11,15,11,66,68,68,68,68,68,70,70,70,70,67,68,67,66,63,66,19,0
Jackson Irvine,29,189,70,70,70,0,1928,410,4,FC St. Pauli,1,3,3,2,2,65,67,68,67,67,76,61,66,73,73,58,67,63,58,66,72,64,65,58,70,58,73,80,80,75,66,72,67,69,70,55,69,65,68,65,7,13,11,9,11,70,68,69,69,69,68,70,70,70,70,70,70,70,70,70,70,19,0
Samuel Bastien,25,175,75,70,73,3,1973,417,10,Burnley,1,3,3,0,2,74,67,69,74,62,71,68,61,53,72,66,73,73,62,71,75,78,70,74,70,78,73,82,84,64,73,68,66,64,65,67,69,66,60,58,8,7,9,7,8,69,70,70,70,70,70,72,73,72,73,71,70,71,70,66,70,16,0
Billal Brahimi,22,183,73,70,79,9,1700,371,6,OGC Nice,1,3,3,0,2,77,63,65,73,29,64,69,62,58,66,56,77,64,64,58,72,76,77,69,60,68,69,64,63,76,62,36,22,67,63,54,59,19,34,31,15,6,10,6,7,69,69,68,68,68,69,70,71,64,71,55,50,55,51,45,51,16,1
Roger Brugué Ayguade,25,174,68,70,73,3,1822,391,0,Levante Unión Deportiva,1,3,3,0,2,88,62,63,73,40,65,60,64,52,66,54,73,62,72,58,71,90,86,89,64,79,59,70,74,63,61,55,40,64,64,69,62,29,46,44,12,5,14,7,6,68,70,68,68,68,70,71,71,66,71,61,57,61,59,52,59,16,0
Cristian Bordacahar,30,179,81,70,70,0,1705,365,11,FBC Melgar,1,3,4,0,2,81,66,62,72,27,57,70,70,67,65,53,79,53,56,51,67,82,80,70,70,64,66,81,70,59,60,31,16,62,60,66,59,23,27,22,14,12,15,9,15,70,70,69,69,69,70,69,70,62,70,54,47,54,51,42,51,21,0
Adam Reach,29,185,73,70,70,0,1913,409,8,West Bromwich Albion,1,4,3,0,2,73,66,68,71,62,69,70,62,57,69,67,70,66,51,67,71,69,77,73,69,71,74,77,81,74,72,39,57,65,69,55,69,66,64,62,8,11,8,16,6,69,69,69,69,69,69,70,70,70,70,70,68,70,69,65,69,19,0
Aitor Buñuel Redrado,24,173,70,70,77,7,1732,382,12,CD Tenerife,1,3,2,0,2,84,38,59,68,62,71,69,36,53,65,31,66,45,36,56,68,83,84,77,64,88,44,60,86,65,35,72,65,54,51,43,60,62,63,65,8,7,14,7,10,57,63,59,59,59,63,62,67,63,67,71,67,71,70,66,70,16,0
Michael Lang,31,185,79,70,70,0,1864,393,1,FC Basel 1893,1,4,2,0,2,59,63,65,64,71,71,68,61,71,71,62,61,45,55,68,69,55,62,60,68,57,68,79,65,75,64,68,69,65,55,59,69,70,72,72,12,8,9,10,11,68,64,64,64,64,64,66,66,68,66,70,70,70,70,70,70,19,0
Martín Távara,23,184,79,70,74,4,1809,388,4,Club Sporting Cristal,1,2,2,2,2,68,64,65,67,63,61,49,66,38,70,49,67,58,65,74,70,71,65,64,70,54,63,51,82,56,67,52,66,63,69,60,64,64,70,59,10,16,8,8,15,65,66,67,67,67,66,70,69,72,69,68,70,68,67,63,67,20,0
Rayane Aabid,30,178,71,70,70,0,1889,405,4,Atakaş Hatayspor,1,3,3,2,2,70,60,71,73,63,68,67,58,48,74,52,72,70,60,72,73,71,69,75,68,76,65,54,78,64,64,67,71,60,70,53,75,64,64,59,9,12,8,8,14,65,69,67,67,67,69,70,70,70,70,70,70,70,69,66,69,19,0
Aleksandar Sedlar,30,180,79,70,70,0,1584,333,1,Deportivo Alavés,1,3,2,2,0,45,43,49,49,70,77,33,50,66,65,25,31,24,22,56,60,53,39,68,69,65,49,84,72,80,26,75,68,25,47,69,63,71,71,69,14,9,12,12,5,52,46,47,47,47,46,51,50,57,50,62,69,62,64,70,64,19,0
Chima Okoroji,25,178,73,70,75,5,1732,374,5,SV Sandhausen,1,3,2,0,2,82,34,64,70,63,61,70,31,50,68,21,68,76,58,62,71,79,85,79,64,76,42,60,70,56,33,64,61,52,49,35,60,64,68,64,13,14,10,8,11,56,63,59,59,59,63,63,67,64,67,70,67,70,70,65,70,19,0
José María Martín Bejarano,34,180,69,70,70,0,1866,383,2,Cádiz CF,1,3,2,2,0,58,59,66,64,68,68,58,49,57,71,66,59,71,56,65,70,63,54,62,71,66,74,79,60,68,65,75,71,57,68,53,60,64,74,66,8,14,12,6,14,64,62,63,63,63,62,66,65,69,65,68,70,68,68,70,68,19,1
